販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,
商品条件：04:鮮魚⇒041:鮮魚⇒004102:切身･丸物,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,00410201:焼物用,00410201:焼物用,00410201:焼物用,00410202:煮物用,00410202:煮物用,00410202:煮物用,00410203:鍋物用,00410203:鍋物用,00410203:鍋物用,00410204:ﾌﾗｲ･ﾑﾆｴﾙ,00410204:ﾌﾗｲ･ﾑﾆｴﾙ,00410204:ﾌﾗｲ･ﾑﾆｴﾙ,00410205:くじら,00410205:くじら,00410205:くじら,00410206:穴子,00410206:穴子,00410206:穴子,00410207:丸魚,00410207:丸魚,00410207:丸魚,00410208:季節の魚,00410208:季節の魚,00410208:季節の魚
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年26週(2025/09/22~2025/09/28),5,"¥3,035,872 ",106.0%,36,"¥845,305 ",71.4%,32,"¥694,506 ",68.1%,48,"¥182,494 ",74.4%,51,"¥58,406 ",40.6%,17,"¥462,773 ",157.9%,22,"¥531,188 ",122.8%,4,"¥2,722,581 ",252.3%
2025年27週(2025/09/29~2025/10/05),16,"¥2,856,507 ",97.7%,47,"¥717,176 ",49.8%,28,"¥1,073,533 ",105.6%,49,"¥177,811 ",62.6%,14,"¥259,406 ",49.3%,40,"¥342,722 ",107.6%,34,"¥441,673 ",87.8%,7,"¥2,363,080 ",198.0%
2025年28週(2025/10/06~2025/10/12),2,"¥3,195,264 ",126.0%,34,"¥961,047 ",65.3%,27,"¥1,103,029 ",87.5%,42,"¥201,513 ",86.6%,9,"¥308,428 ",52.1%,51,"¥208,920 ",99.5%,32,"¥460,353 ",89.9%,9,"¥1,820,094 ",148.0%
2025年29週(2025/10/13~2025/10/19),11,"¥2,923,543 ",106.1%,26,"¥1,263,383 ",84.2%,24,"¥1,575,486 ",111.7%,35,"¥220,283 ",124.5%,27,"¥177,528 ",59.1%,28,"¥387,717 ",122.8%,46,"¥364,841 ",76.2%,10,"¥1,453,315 ",129.7%
2025年30週(2025/10/20~2025/10/26),25,"¥2,679,634 ",113.9%,12,"¥1,643,971 ",105.7%,21,"¥2,224,282 ",97.2%,45,"¥190,248 ",92.9%,25,"¥183,511 ",90.8%,38,"¥347,313 ",71.8%,47,"¥353,617 ",78.2%,12,"¥1,155,012 ",108.8%
2025年31週(2025/10/27~2025/11/02),33,"¥2,590,354 ",105.2%,18,"¥1,542,668 ",110.5%,18,"¥2,499,976 ",115.5%,41,"¥202,962 ",86.8%,31,"¥156,690 ",76.4%,49,"¥225,242 ",101.6%,40,"¥399,625 ",86.2%,13,"¥722,037 ",82.1%
2025年32週(2025/11/03~2025/11/09),32,"¥2,595,285 ",105.1%,20,"¥1,489,465 ",138.4%,15,"¥3,160,252 ",109.8%,44,"¥194,245 ",93.5%,4,"¥346,582 ",77.2%,31,"¥382,415 ",103.6%,45,"¥367,543 ",77.7%,17,"¥610,886 ",75.5%
2025年33週(2025/11/10~2025/11/16),28,"¥2,661,299 ",103.2%,25,"¥1,286,631 ",82.7%,17,"¥2,563,141 ",108.8%,36,"¥219,643 ",97.1%,7,"¥318,780 ",146.0%,48,"¥248,558 ",55.0%,35,"¥436,075 ",95.2%,22,"¥518,090 ",69.4%
2025年34週(2025/11/17~2025/11/23),35,"¥2,511,162 ",112.6%,27,"¥1,252,308 ",70.6%,14,"¥3,219,230 ",98.6%,31,"¥234,501 ",112.3%,21,"¥197,561 ",93.5%,26,"¥411,904 ",113.6%,38,"¥420,853 ",92.3%,25,"¥423,573 ",83.5%
2025年35週(2025/11/24~2025/11/30),44,"¥2,359,332 ",124.1%,21,"¥1,451,390 ",73.8%,12,"¥3,334,854 ",87.7%,39,"¥206,641 ",92.0%,37,"¥125,313 ",41.5%,14,"¥484,564 ",107.9%,37,"¥430,341 ",101.8%,21,"¥524,872 ",126.9%
2025年36週(2025/12/01~2025/12/07),40,"¥2,406,238 ",107.7%,6,"¥1,809,553 ",76.8%,8,"¥4,004,992 ",94.2%,43,"¥200,774 ",89.0%,29,"¥166,734 ",76.1%,11,"¥545,442 ",94.3%,44,"¥372,805 ",84.4%,23,"¥495,761 ",275.6%
2025年37週(2025/12/08~2025/12/14),41,"¥2,402,212 ",111.5%,22,"¥1,396,790 ",70.8%,11,"¥3,446,462 ",87.9%,47,"¥186,327 ",88.2%,13,"¥264,354 ",142.4%,15,"¥479,855 ",91.6%,48,"¥337,100 ",94.6%,19,"¥608,824 ",129.7%
2025年38週(2025/12/15~2025/12/21),49,"¥2,158,676 ",106.5%,13,"¥1,636,527 ",76.8%,10,"¥3,581,728 ",100.7%,38,"¥209,407 ",140.8%,17,"¥224,507 ",168.7%,12,"¥537,877 ",75.9%,51,"¥320,776 ",98.4%,20,"¥569,612 ",72.0%
2025年39週(2025/12/22~2025/12/28),22,"¥2,716,411 ",106.1%,2,"¥2,272,619 ",64.8%,2,"¥5,547,870 ",106.6%,19,"¥314,404 ",76.1%,30,"¥163,564 ",130.4%,2,"¥1,298,654 ",80.2%,43,"¥384,901 ",133.7%,11,"¥1,377,930 ",61.8%
2025年40週(2025/12/29~2026/01/04),52,"¥1,710,978 ",143.7%,1,"¥4,609,664 ",111.1%,1,"¥18,180,143 ",112.8%,24,"¥289,207 ",168.9%,52,"¥48,546 ",24.5%,1,"¥2,301,433 ",129.2%,52,"¥185,626 ",130.1%,1,"¥3,901,193 ",118.3%
2025年41週(2026/01/05~2026/01/11),48,"¥2,166,166 ",113.4%,8,"¥1,757,409 ",81.4%,6,"¥4,074,532 ",120.6%,37,"¥217,379 ",125.4%,43,"¥104,905 ",40.4%,10,"¥571,634 ",75.6%,49,"¥334,398 ",95.3%,16,"¥621,074 ",118.5%
2025年42週(2026/01/12~2026/01/18),47,"¥2,274,306 ",119.0%,7,"¥1,781,693 ",80.3%,4,"¥4,375,531 ",119.0%,29,"¥260,038 ",95.8%,28,"¥171,981 ",58.2%,23,"¥421,417 ",77.6%,36,"¥430,410 ",100.3%,15,"¥627,906 ",119.2%
2025年43週(2026/01/19~2026/01/25),51,"¥2,091,104 ",98.7%,3,"¥2,030,677 ",107.3%,3,"¥4,796,306 ",128.3%,22,"¥292,364 ",72.6%,12,"¥282,211 ",54.6%,25,"¥413,283 ",84.2%,42,"¥385,024 ",80.4%,14,"¥654,492 ",142.0%
2025年44週(2026/01/26~2026/02/01),39,"¥2,446,373 ",133.3%,11,"¥1,697,304 ",85.8%,7,"¥4,059,557 ",132.9%,28,"¥265,678 ",92.2%,20,"¥198,347 ",99.6%,6,"¥675,068 ",52.3%,39,"¥411,268 ",73.4%,18,"¥609,868 ",137.9%
2025年45週(2026/02/02~2026/02/08),50,"¥2,133,947 ",117.9%,17,"¥1,543,800 ",90.1%,5,"¥4,106,995 ",107.6%,27,"¥265,968 ",112.3%,2,"¥385,015 ",86.9%,4,"¥1,033,352 ",170.3%,24,"¥528,116 ",98.2%,24,"¥436,941 ",126.0%
2025年46週(2026/02/09~2026/02/15),45,"¥2,310,697 ",101.1%,9,"¥1,743,120 ",99.7%,9,"¥3,853,222 ",125.8%,7,"¥359,471 ",155.6%,1,"¥414,025 ",159.2%,16,"¥465,176 ",116.1%,33,"¥457,110 ",82.5%,26,"¥404,039 ",114.0%
2025年47週(2026/02/16~2026/02/22),46,"¥2,296,828 ",115.1%,5,"¥1,870,445 ",111.4%,13,"¥3,258,696 ",88.6%,17,"¥320,218 ",110.8%,5,"¥324,505 ",78.7%,24,"¥416,942 ",84.2%,31,"¥473,894 ",74.6%,27,"¥368,939 ",108.9%
2025年48週(2026/02/23~2026/03/01),36,"¥2,479,919 ",103.2%,14,"¥1,624,845 ",92.1%,16,"¥3,047,746 ",108.8%,16,"¥323,558 ",120.3%,32,"¥138,964 ",57.3%,5,"¥790,224 ",84.0%,19,"¥543,595 ",99.8%,29,"¥303,674 ",85.1%
2025年49週(2026/03/02~2026/03/08),31,"¥2,635,829 ",113.9%,10,"¥1,702,098 ",92.5%,19,"¥2,291,365 ",97.5%,50,"¥175,713 ",59.1%,19,"¥213,955 ",50.9%,3,"¥1,116,010 ",122.4%,28,"¥501,973 ",91.6%,30,"¥299,952 ",95.3%
2025年50週(2026/03/09~2026/03/15),37,"¥2,467,158 ",117.8%,15,"¥1,592,409 ",91.0%,22,"¥2,210,106 ",118.9%,30,"¥250,176 ",95.6%,48,"¥89,614 ",57.0%,34,"¥372,562 ",133.0%,23,"¥530,618 ",97.2%,34,"¥264,750 ",6.1%
2025年51週(2026/03/16~2026/03/22),42,"¥2,391,622 ",117.1%,16,"¥1,551,557 ",85.5%,20,"¥2,256,874 ",129.5%,23,"¥290,246 ",112.3%,24,"¥185,673 ",44.0%,42,"¥318,612 ",139.5%,11,"¥689,105 ",112.7%,31,"¥285,956 ",494.1%
2025年52週(2026/03/23~2026/03/29),38,"¥2,465,996 ",97.7%,24,"¥1,324,881 ",91.5%,23,"¥1,799,601 ",140.9%,20,"¥307,244 ",110.1%,46,"¥93,931 ",63.8%,35,"¥370,464 ",183.3%,15,"¥626,294 ",100.9%,32,"¥275,873 ",237.3%
