,003601:ﾛｰｽﾄﾋﾞｰﾌ,003601:ﾛｰｽﾄﾋﾞｰﾌ,003601:ﾛｰｽﾄﾋﾞｰﾌ,003602:牛肉たれ漬け,003602:牛肉たれ漬け,003602:牛肉たれ漬け,003603:牛パン粉製品,003603:牛パン粉製品,003603:牛パン粉製品,003604:牛焼・揚物,003604:牛焼・揚物,003604:牛焼・揚物,003605:ﾊﾝﾊﾞｰｸﾞ,003605:ﾊﾝﾊﾞｰｸﾞ,003605:ﾊﾝﾊﾞｰｸﾞ,003606:焼豚,003606:焼豚,003606:焼豚,003607:豚肉たれ漬け,003607:豚肉たれ漬け,003607:豚肉たれ漬け,003608:豚パン粉製品,003608:豚パン粉製品,003608:豚パン粉製品,003609:豚焼・揚物,003609:豚焼・揚物,003609:豚焼・揚物,003610:鶏肉たれ漬け,003610:鶏肉たれ漬け,003610:鶏肉たれ漬け,003611:鶏パン粉製品,003611:鶏パン粉製品,003611:鶏パン粉製品,003612:鶏焼・揚物,003612:鶏焼・揚物,003612:鶏焼・揚物
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年21週(2025/08/18~2025/08/24),13,"¥3,587,361",92.10%,18,"¥515,982",88.00%,18,"¥11,398",56.20%,37,"¥10,170",93.00%,47,"¥2,266,440",104.00%,21,"¥965,986",91.90%,26,"¥22,542",30.50%,30,"¥10,372",98.00%,31,"¥131,731",112.60%,21,¥0,0.00%,40,"¥71,988",100.30%,13,"¥810,545",120.60%
2025年22週(2025/08/25~2025/08/31),26,"¥3,433,649",100.50%,10,"¥562,425",95.00%,26,"¥8,125",31.10%,34,"¥10,320",114.70%,25,"¥2,593,226",107.70%,12,"¥996,114",94.80%,46,"¥15,030",16.10%,15,"¥12,717",181.60%,16,"¥139,849",100.80%,22,¥0,0.00%,25,"¥79,566",123.20%,27,"¥774,451",132.20%
2025年23週(2025/09/01~2025/09/07),17,"¥3,532,540",103.60%,14,"¥547,538",95.80%,33,"¥7,275",36.50%,39,"¥10,016",113.90%,46,"¥2,270,300",106.30%,40,"¥896,789",93.50%,13,"¥25,502",34.20%,31,"¥10,330",75.10%,12,"¥143,237",116.30%,23,¥0,0.00%,24,"¥79,868",137.00%,48,"¥701,017",116.30%
2025年24週(2025/09/08~2025/09/14),35,"¥3,350,073",96.90%,20,"¥508,801",92.90%,29,"¥7,707",33.10%,38,"¥10,032",92.90%,32,"¥2,553,155",111.80%,20,"¥967,429",95.40%,23,"¥23,095",32.20%,25,"¥11,400",105.60%,35,"¥130,108",96.00%,24,¥0,0.00%,38,"¥74,269",137.60%,38,"¥734,360",113.30%
2025年25週(2025/09/15~2025/09/21),27,"¥3,417,851",94.00%,32,"¥470,950",86.90%,28,"¥7,841",37.50%,32,"¥10,396",97.90%,44,"¥2,277,583",110.60%,33,"¥909,587",88.50%,8,"¥29,049",42.70%,2,"¥16,107",97.40%,34,"¥130,161",94.00%,25,¥0,0.00%,8,"¥88,220",137.90%,24,"¥791,472",123.40%
2025年26週(2025/09/22~2025/09/28),24,"¥3,448,483",97.40%,24,"¥500,914",89.70%,24,"¥8,320",29.60%,52,"¥8,380",82.50%,36,"¥2,469,634",103.70%,30,"¥917,890",91.30%,3,"¥32,381",41.10%,8,"¥13,996",187.90%,25,"¥133,552",101.40%,26,¥0,0.00%,30,"¥76,800",119.40%,26,"¥776,268",112.50%
2025年27週(2025/09/29~2025/10/05),43,"¥3,113,568",92.80%,23,"¥503,190",95.90%,32,"¥7,439",36.60%,46,"¥9,310",100.80%,43,"¥2,281,292",106.00%,49,"¥871,042",87.90%,12,"¥25,629",45.10%,5,"¥14,998",96.70%,37,"¥127,996",114.70%,27,¥0,0.00%,13,"¥86,064",124.70%,33,"¥762,476",135.90%
2025年28週(2025/10/06~2025/10/12),7,"¥3,779,728",109.80%,33,"¥452,966",83.80%,48,"¥2,655",14.70%,18,"¥11,606",99.00%,29,"¥2,584,148",111.70%,32,"¥910,592",89.70%,30,"¥19,646",41.30%,21,"¥11,981",87.50%,21,"¥137,086",108.70%,28,¥0,0.00%,20,"¥80,458",133.70%,17,"¥801,472",129.70%
2025年29週(2025/10/13~2025/10/19),23,"¥3,451,584",104.50%,2,"¥1,331,036",249.10%,23,"¥8,537",45.10%,25,"¥10,790",138.30%,42,"¥2,282,099",98.80%,28,"¥922,379",93.80%,16,"¥24,974",35.20%,24,"¥11,420",71.40%,30,"¥132,518",110.00%,29,¥0,0.00%,34,"¥76,154",121.90%,6,"¥838,277",135.80%
2025年30週(2025/10/20~2025/10/26),37,"¥3,318,661",92.70%,13,"¥552,255",114.60%,43,"¥3,995",16.00%,30,"¥10,572",90.30%,8,"¥2,756,315",122.70%,39,"¥897,591",90.40%,7,"¥29,227",47.90%,46,"¥7,013",90.90%,13,"¥141,144",108.70%,30,¥0,0.00%,14,"¥85,708",134.80%,14,"¥808,921",132.70%
2025年31週(2025/10/27~2025/11/02),41,"¥3,150,946",96.60%,31,"¥475,749",99.50%,20,"¥10,046",52.80%,31,"¥10,570",131.60%,30,"¥2,570,722",114.90%,27,"¥923,498",95.20%,1,"¥35,164",78.10%,13,"¥12,770",113.50%,8,"¥149,355",111.30%,31,¥0,0.00%,28,"¥77,631",131.10%,12,"¥819,653",135.70%
2025年32週(2025/11/03~2025/11/09),39,"¥3,188,621",98.90%,34,"¥446,625",91.40%,34,"¥6,765",37.10%,47,"¥9,270",118.50%,26,"¥2,592,245",118.40%,46,"¥874,813",87.10%,4,"¥31,418",64.90%,23,"¥11,650",65.40%,23,"¥134,974",96.50%,32,¥0,0.00%,7,"¥88,227",126.00%,11,"¥825,343",131.80%
2025年33週(2025/11/10~2025/11/16),42,"¥3,127,594",95.80%,1,"¥1,486,332",294.70%,36,"¥6,335",29.60%,49,"¥9,060",81.80%,14,"¥2,706,695",119.40%,35,"¥906,224",92.10%,9,"¥29,014",51.60%,48,"¥6,051",118.40%,14,"¥140,798",106.80%,33,¥0,0.00%,16,"¥84,508",130.20%,19,"¥799,518",137.00%
2025年34週(2025/11/17~2025/11/23),31,"¥3,387,663",103.20%,25,"¥500,013",103.10%,30,"¥7,536",39.70%,36,"¥10,280",101.40%,5,"¥2,773,862",128.50%,38,"¥898,393",89.40%,20,"¥24,289",43.40%,29,"¥10,494",69.20%,45,"¥121,223",91.70%,34,¥0,0.00%,26,"¥79,063",120.20%,30,"¥765,626",138.90%
2025年35週(2025/11/24~2025/11/30),46,"¥3,052,365",94.40%,36,"¥406,086",80.20%,46,"¥3,104",40.10%,35,"¥10,290",95.10%,6,"¥2,762,313",126.30%,48,"¥871,166",88.80%,38,"¥16,226",38.80%,27,"¥10,704",134.20%,38,"¥126,397",86.30%,35,¥0,0.00%,45,"¥67,352",99.70%,37,"¥748,656",125.20%
2025年36週(2025/12/01~2025/12/07),18,"¥3,521,376",97.80%,38,"¥404,190",81.30%,39,"¥5,031",27.40%,43,"¥9,766",78.60%,1,"¥2,897,067",124.80%,29,"¥920,326",89.30%,45,"¥15,310",43.10%,18,"¥12,088",72.70%,5,"¥151,164",123.50%,36,¥0,0.00%,21,"¥80,120",124.80%,34,"¥760,987",115.40%
2025年37週(2025/12/08~2025/12/14),36,"¥3,348,843",110.50%,41,"¥361,969",75.60%,35,"¥6,691",42.90%,11,"¥13,040",111.30%,31,"¥2,557,078",118.60%,41,"¥889,823",95.60%,27,"¥21,775",72.10%,4,"¥15,295",162.10%,49,"¥116,537",93.80%,37,¥0,0.00%,36,"¥74,984",118.30%,44,"¥715,108",117.20%
2025年38週(2025/12/15~2025/12/21),8,"¥3,765,134",85.90%,45,"¥320,590",75.20%,27,"¥8,063",63.60%,3,"¥19,750",83.30%,2,"¥2,801,895",125.50%,45,"¥876,923",95.40%,47,"¥15,025",67.30%,33,"¥9,903",114.10%,36,"¥128,122",94.50%,38,¥0,0.00%,46,"¥64,563",144.90%,2,"¥971,317",119.00%
2025年39週(2025/12/22~2025/12/28),2,"¥9,089,291",98.70%,48,"¥303,552",73.50%,44,"¥3,986",50.80%,2,"¥66,814",80.20%,24,"¥2,609,324",115.70%,4,"¥1,045,435",92.90%,50,"¥14,031",80.10%,47,"¥6,078",1168.80%,50,"¥76,348",132.30%,39,¥0,0.00%,51,"¥42,327",279.80%,1,"¥2,572,827",103.80%
2025年40週(2025/12/29~2026/01/04),1,"¥13,347,217",107.30%,52,"¥181,646",70.20%,49,"¥2,618",41.10%,1,"¥105,788",113.10%,52,"¥1,607,738",113.80%,1,"¥1,605,299",110.70%,51,"¥13,640",170.00%,52,"¥1,206",82.10%,52,"¥14,789",105.40%,40,¥0,0.00%,52,"¥12,711",117.10%,52,"¥514,362",112.70%
2025年41週(2026/01/05~2026/01/11),48,"¥2,906,947",108.30%,43,"¥340,706",73.40%,51,"¥1,975",10.20%,24,"¥10,820",114.00%,10,"¥2,746,802",128.20%,52,"¥790,884",96.10%,34,"¥18,687",80.00%,10,"¥13,518",107.80%,51,"¥47,334",95.60%,41,¥0,0.00%,50,"¥54,531",94.70%,50,"¥673,683",114.80%
2025年42週(2026/01/12~2026/01/18),51,"¥2,844,048",103.00%,42,"¥350,312",68.60%,37,"¥6,216",27.90%,22,"¥10,960",115.90%,18,"¥2,682,502",119.10%,8,"¥1,006,629",113.40%,52,"¥13,054",46.50%,9,"¥13,811",93.70%,40,"¥125,091",102.20%,42,¥0,0.00%,43,"¥68,936",109.60%,41,"¥719,818",120.00%
2025年43週(2026/01/19~2026/01/25),52,"¥2,843,571",81.50%,3,"¥974,211",192.70%,47,"¥2,799",15.60%,13,"¥12,460",71.90%,33,"¥2,549,031",124.30%,15,"¥990,296",97.30%,28,"¥21,034",52.80%,43,"¥7,385",133.80%,41,"¥123,844",93.40%,43,¥0,0.00%,39,"¥71,995",114.80%,49,"¥697,407",106.20%
2025年44週(2026/01/26~2026/02/01),50,"¥2,860,255",84.80%,39,"¥393,914",73.10%,45,"¥3,169",17.20%,44,"¥9,720",73.60%,23,"¥2,609,895",97.50%,43,"¥877,691",93.10%,36,"¥18,299",93.10%,28,"¥10,589",127.60%,48,"¥116,615",89.50%,44,¥0,0.00%,18,"¥82,007",119.10%,45,"¥711,284",116.20%
2025年45週(2026/02/02~2026/02/08),49,"¥2,897,871",97.80%,50,"¥289,940",64.00%,50,"¥2,311",10.20%,45,"¥9,720",90.80%,19,"¥2,660,786",127.10%,42,"¥879,016",95.00%,42,"¥15,467",69.20%,45,"¥7,029",76.20%,29,"¥132,832",106.30%,45,¥0,0.00%,10,"¥87,779",117.40%,29,"¥767,581",126.30%
2025年46週(2026/02/09~2026/02/15),47,"¥2,980,887",93.90%,51,"¥247,387",59.20%,41,"¥4,418",18.60%,50,"¥8,640",74.80%,22,"¥2,638,163",114.00%,37,"¥901,809",95.30%,40,"¥15,536",47.00%,49,"¥5,613",64.70%,27,"¥133,230",106.60%,46,¥0,0.00%,19,"¥81,723",120.20%,35,"¥760,264",118.60%
2025年47週(2026/02/16~2026/02/22),44,"¥3,108,369",96.50%,44,"¥333,143",74.30%,42,"¥4,002",16.70%,28,"¥10,692",84.70%,21,"¥2,644,017",124.30%,47,"¥872,637",93.40%,29,"¥19,744",53.00%,41,"¥8,372",67.10%,18,"¥139,060",106.00%,47,¥0,0.00%,9,"¥88,169",120.70%,18,"¥800,229",119.10%
2025年48週(2026/02/23~2026/03/01),32,"¥3,363,571",101.00%,4,"¥785,447",190.50%,52,"¥1,044",5.30%,21,"¥11,220",105.10%,12,"¥2,716,051",110.90%,44,"¥877,463",95.30%,49,"¥14,427",48.60%,7,"¥14,093",160.10%,17,"¥139,119",95.90%,48,¥0,0.00%,5,"¥89,286",127.20%,7,"¥832,678",120.50%
2025年49週(2026/03/02~2026/03/08),30,"¥3,391,025",106.80%,40,"¥366,926",76.50%,25,"¥8,253",48.00%,40,"¥9,930",92.20%,7,"¥2,757,856",123.70%,51,"¥837,112",89.10%,24,"¥22,745",75.50%,1,"¥16,334",136.90%,47,"¥117,529",88.50%,49,¥0,0.00%,4,"¥95,286",143.10%,21,"¥795,522",116.20%
2025年50週(2026/03/09~2026/03/15),45,"¥3,065,745",96.00%,49,"¥299,626",76.50%,31,"¥7,477",43.00%,42,"¥9,840",81.90%,9,"¥2,754,981",112.10%,50,"¥838,209",94.80%,48,"¥15,012",35.70%,38,"¥8,598",90.30%,39,"¥125,394",100.70%,50,¥0,0.00%,23,"¥80,032",139.80%,9,"¥829,548",124.40%
2025年51週(2026/03/16~2026/03/22),40,"¥3,182,448",87.70%,47,"¥305,012",68.60%,40,"¥5,026",26.60%,41,"¥9,850",84.50%,16,"¥2,700,818",115.50%,31,"¥910,763",96.00%,18,"¥24,775",85.50%,42,"¥8,229",49.20%,43,"¥123,267",88.20%,51,¥0,0.00%,15,"¥85,079",130.50%,10,"¥829,327",118.90%
2025年52週(2026/03/23~2026/03/29),38,"¥3,316,301",100.00%,46,"¥316,768",77.70%,38,"¥5,270",31.20%,26,"¥10,758",86.50%,3,"¥2,796,746",110.30%,36,"¥902,534",102.70%,35,"¥18,463",79.90%,51,"¥4,637",36.50%,42,"¥123,357",96.40%,52,¥0,0.00%,32,"¥76,619",118.80%,4,"¥844,229",128.10%
