販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,
商品条件：09:チルド,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,091:牛乳,091:牛乳,091:牛乳,092:乳製品,092:乳製品,092:乳製品,093:ﾁﾙﾄﾞ食品飲料,093:ﾁﾙﾄﾞ食品飲料,093:ﾁﾙﾄﾞ食品飲料,095:たまご,095:たまご,095:たまご,096:冷凍食品,096:冷凍食品,096:冷凍食品,097:ｱｲｽ・氷,097:ｱｲｽ・氷,097:ｱｲｽ・氷
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年30週(2025/10/20~2025/10/26),24,"¥5,064,460 ",102.5%,47,"¥11,372,137 ",99.3%,32,"¥5,541,804 ",92.1%,18,"¥6,297,131 ",111.6%,25,"¥3,275,577 ",97.6%,34,"¥1,948,814 ",78.1%
2025年31週(2025/10/27~2025/11/02),42,"¥4,911,854 ",103.1%,49,"¥11,340,911 ",100.2%,41,"¥5,263,418 ",96.7%,20,"¥6,225,037 ",111.6%,35,"¥3,173,530 ",97.8%,35,"¥1,856,645 ",85.4%
2025年32週(2025/11/03~2025/11/09),39,"¥4,927,166 ",102.9%,37,"¥11,613,635 ",100.2%,39,"¥5,344,550 ",97.9%,22,"¥6,209,424 ",107.3%,19,"¥3,313,798 ",97.1%,33,"¥1,962,395 ",97.6%
2025年33週(2025/11/10~2025/11/16),30,"¥4,994,976 ",107.7%,34,"¥11,775,260 ",101.3%,34,"¥5,416,033 ",99.4%,16,"¥6,329,498 ",111.6%,20,"¥3,313,458 ",99.8%,37,"¥1,799,766 ",89.5%
2025年34週(2025/11/17~2025/11/23),44,"¥4,857,163 ",104.8%,40,"¥11,460,950 ",102.0%,44,"¥5,223,285 ",100.9%,23,"¥6,093,230 ",107.4%,22,"¥3,298,052 ",92.7%,44,"¥1,654,982 ",103.9%
2025年35週(2025/11/24~2025/11/30),31,"¥4,974,738 ",107.2%,43,"¥11,428,214 ",100.6%,42,"¥5,254,985 ",103.4%,21,"¥6,224,602 ",108.5%,21,"¥3,302,610 ",97.3%,39,"¥1,755,346 ",107.7%
2025年36週(2025/12/01~2025/12/07),15,"¥5,160,299 ",106.2%,22,"¥12,225,695 ",100.5%,37,"¥5,370,807 ",98.6%,6,"¥6,516,157 ",109.1%,10,"¥3,435,502 ",97.3%,40,"¥1,684,656 ",105.9%
2025年37週(2025/12/08~2025/12/14),45,"¥4,856,744 ",105.1%,45,"¥11,420,012 ",98.3%,48,"¥5,065,041 ",95.7%,25,"¥6,045,595 ",108.8%,50,"¥3,019,145 ",91.1%,47,"¥1,618,433 ",104.1%
2025年38週(2025/12/15~2025/12/21),32,"¥4,967,603 ",102.7%,17,"¥12,341,842 ",96.0%,40,"¥5,322,842 ",94.1%,19,"¥6,239,554 ",108.6%,13,"¥3,372,620 ",86.1%,43,"¥1,666,619 ",94.9%
2025年39週(2025/12/22~2025/12/28),1,"¥6,189,500 ",100.5%,1,"¥16,950,521 ",96.6%,5,"¥6,676,400 ",93.8%,1,"¥7,843,287 ",101.3%,1,"¥4,775,076 ",87.1%,29,"¥2,291,654 ",87.9%
2025年40週(2025/12/29~2026/01/04),7,"¥5,301,875 ",108.9%,3,"¥13,415,783 ",113.8%,26,"¥5,824,595 ",112.5%,2,"¥6,876,398 ",122.9%,2,"¥3,749,040 ",106.8%,24,"¥2,738,910 ",105.0%
2025年41週(2026/01/05~2026/01/11),10,"¥5,256,402 ",113.9%,52,"¥11,124,006 ",108.3%,52,"¥4,776,134 ",104.5%,14,"¥6,394,468 ",114.8%,38,"¥3,162,879 ",102.5%,50,"¥1,556,013 ",98.9%
2025年42週(2026/01/12~2026/01/18),22,"¥5,073,371 ",112.5%,42,"¥11,434,567 ",107.3%,43,"¥5,225,251 ",107.2%,17,"¥6,312,201 ",113.2%,47,"¥3,075,124 ",100.1%,45,"¥1,649,181 ",101.9%
2025年43週(2026/01/19~2026/01/25),35,"¥4,952,572 ",108.6%,50,"¥11,323,063 ",101.0%,50,"¥4,909,445 ",93.5%,13,"¥6,400,090 ",113.3%,36,"¥3,169,869 ",100.7%,52,"¥1,478,734 ",88.7%
2025年44週(2026/01/26~2026/02/01),37,"¥4,929,145 ",100.4%,39,"¥11,544,505 ",96.8%,51,"¥4,851,215 ",87.4%,8,"¥6,487,707 ",107.1%,39,"¥3,149,764 ",89.4%,51,"¥1,517,324 ",87.0%
2025年45週(2026/02/02~2026/02/08),28,"¥5,023,446 ",110.5%,48,"¥11,340,952 ",102.1%,47,"¥5,116,995 ",93.3%,5,"¥6,535,782 ",118.0%,45,"¥3,118,127 ",92.2%,41,"¥1,676,490 ",118.3%
2025年46週(2026/02/09~2026/02/15),11,"¥5,223,598 ",107.3%,29,"¥11,995,979 ",100.2%,49,"¥5,060,816 ",88.6%,3,"¥6,628,364 ",113.3%,29,"¥3,252,454 ",94.2%,42,"¥1,669,921 ",99.7%
2025年47週(2026/02/16~2026/02/22),36,"¥4,940,498 ",106.1%,44,"¥11,420,890 ",99.3%,38,"¥5,364,380 ",103.5%,12,"¥6,405,046 ",112.2%,42,"¥3,132,198 ",87.9%,46,"¥1,634,792 ",105.0%
2025年48週(2026/02/23~2026/03/01),21,"¥5,107,543 ",108.7%,36,"¥11,692,623 ",101.3%,36,"¥5,389,100 ",99.0%,4,"¥6,559,834 ",114.9%,44,"¥3,119,344 ",88.0%,36,"¥1,806,652 ",103.9%
2025年49週(2026/03/02~2026/03/08),41,"¥4,916,205 ",106.8%,51,"¥11,277,608 ",97.7%,46,"¥5,124,265 ",94.4%,7,"¥6,502,528 ",116.3%,51,"¥2,942,474 ",92.2%,48,"¥1,612,428 ",102.0%
2025年50週(2026/03/09~2026/03/15),34,"¥4,952,958 ",109.8%,41,"¥11,445,361 ",100.3%,45,"¥5,190,917 ",96.0%,9,"¥6,479,885 ",118.1%,46,"¥3,084,812 ",95.6%,49,"¥1,593,562 ",94.4%
2025年51週(2026/03/16~2026/03/22),29,"¥4,997,127 ",106.6%,38,"¥11,587,031 ",96.9%,35,"¥5,407,831 ",89.7%,15,"¥6,369,688 ",111.8%,49,"¥3,059,665 ",88.7%,38,"¥1,791,692 ",89.9%
2025年52週(2026/03/23~2026/03/29),23,"¥5,071,627 ",107.9%,27,"¥12,041,053 ",105.4%,33,"¥5,529,280 ",96.6%,11,"¥6,468,418 ",116.5%,52,"¥2,935,985 ",89.4%,31,"¥2,042,493 ",92.7%
