販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,
商品条件：04:鮮魚⇒042:塩乾物,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,004201:鮭類,004201:鮭類,004201:鮭類,004202:魚類干し物,004202:魚類干し物,004202:魚類干し物,004203:冷凍塩干,004203:冷凍塩干,004203:冷凍塩干,004204:魚類漬け物,004204:魚類漬け物,004204:魚類漬け物,004205:加熱加工品,004205:加熱加工品,004205:加熱加工品,004299:代表ｺｰﾄﾞ,004299:代表ｺｰﾄﾞ,004299:代表ｺｰﾄﾞ
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年43週(2026/01/19~2026/01/25),26,"¥2,758,866 ",127.4%,27,"¥3,153,664 ",111.3%,49,"¥33,236 ",15.4%,24,"¥3,650,860 ",119.7%,44,"¥1,782,878 ",89.7%,37,(¥240),60.0%
2025年44週(2026/01/26~2026/02/01),13,"¥2,989,322 ",109.7%,38,"¥2,991,867 ",79.0%,44,"¥64,523 ",54.2%,15,"¥3,927,665 ",110.0%,46,"¥1,763,980 ",81.4%,26,¥0 ,0.0%
2025年45週(2026/02/02~2026/02/08),3,"¥3,259,572 ",158.9%,1,"¥3,798,460 ",135.2%,47,"¥48,706 ",19.1%,36,"¥3,465,219 ",111.8%,26,"¥2,164,982 ",102.2%,50,"(¥1,391)",-368.0%
2025年46週(2026/02/09~2026/02/15),22,"¥2,860,816 ",128.1%,37,"¥2,994,549 ",87.2%,43,"¥82,235 ",36.0%,10,"¥4,082,666 ",108.2%,17,"¥2,483,986 ",107.1%,9,¥749 ,-57.6%
2025年47週(2026/02/16~2026/02/22),11,"¥2,995,796 ",110.7%,9,"¥3,433,397 ",109.1%,41,"¥106,251 ",50.4%,32,"¥3,518,210 ",112.7%,14,"¥2,550,052 ",94.0%,8,¥878 ,-878.0%
2025年48週(2026/02/23~2026/03/01),27,"¥2,744,773 ",127.3%,24,"¥3,194,651 ",99.2%,31,"¥169,798 ",96.8%,14,"¥3,971,623 ",104.0%,11,"¥2,926,896 ",105.7%,27,¥0 ,0.0%
2025年49週(2026/03/02~2026/03/08),10,"¥3,055,143 ",118.9%,29,"¥3,134,618 ",107.7%,39,"¥138,787 ",54.4%,9,"¥4,148,488 ",106.3%,7,"¥3,869,595 ",128.1%,14,¥498 ,0.0%
2025年50週(2026/03/09~2026/03/15),18,"¥2,893,665 ",145.7%,4,"¥3,673,068 ",123.4%,36,"¥144,391 ",46.7%,44,"¥3,287,642 ",99.0%,6,"¥4,071,216 ",91.0%,44,(¥499),41.6%
2025年51週(2026/03/16~2026/03/22),20,"¥2,890,511 ",127.7%,23,"¥3,213,243 ",109.9%,34,"¥160,665 ",71.2%,37,"¥3,458,954 ",107.3%,2,"¥5,010,892 ",99.8%,4,"¥2,248 ",-899.2%
2025年52週(2026/03/23~2026/03/29),14,"¥2,986,435 ",112.4%,3,"¥3,678,970 ",124.2%,30,"¥175,322 ",88.4%,49,"¥3,171,047 ",95.9%,1,"¥5,803,673 ",133.3%,47,(¥678),491.3%
