販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：04:鮮魚⇒041:鮮魚⇒004101:刺身,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,00410101:白身,00410101:白身,00410101:白身,00410102:赤身,00410102:赤身,00410102:赤身,00410103:青身,00410103:青身,00410103:青身,00410104:貝類,00410104:貝類,00410104:貝類,00410105:いか･たこ,00410105:いか･たこ,00410105:いか･たこ,00410106:盛合せ,00410106:盛合せ,00410106:盛合せ,00410107:季節商品,00410107:季節商品,00410107:季節商品,00410108:刺身加工品,00410108:刺身加工品,00410108:刺身加工品,00410110:ｽﾓｰｸ,00410110:ｽﾓｰｸ,00410110:ｽﾓｰｸ,00410111:調味料,00410111:調味料,00410111:調味料
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年24週(2025/09/08~2025/09/14),26,"¥1,007,783",110.20%,11,"¥3,871,956",106.00%,52,"¥468,599",90.70%,23,"¥544,535",77.70%,11,"¥1,590,679",102.40%,46,"¥2,946,758",80.50%,28,"¥1,058,845",77.30%,6,"¥4,295,135",121.30%,14,"¥338,415",90.80%,27,"¥122,373",95.50%
2025年25週(2025/09/15~2025/09/21),48,"¥811,821",96.30%,41,"¥3,328,397",89.30%,42,"¥532,074",81.40%,36,"¥464,765",75.20%,9,"¥1,671,330",123.80%,21,"¥3,446,869",91.50%,25,"¥1,074,283",86.70%,8,"¥4,188,461",109.80%,47,"¥235,491",77.10%,31,"¥113,282",82.70%
2025年26週(2025/09/22~2025/09/28),47,"¥813,526",95.20%,21,"¥3,664,683",88.40%,30,"¥572,731",95.90%,46,"¥393,805",55.80%,12,"¥1,576,246",113.60%,43,"¥3,041,588",93.20%,37,"¥954,752",77.30%,12,"¥3,992,407",101.80%,15,"¥336,728",96.20%,32,"¥111,374",85.10%
2025年27週(2025/09/29~2025/10/05),49,"¥789,480",98.20%,23,"¥3,612,623",96.10%,46,"¥524,338",74.20%,52,"¥336,257",50.50%,17,"¥1,476,020",111.40%,52,"¥2,599,711",80.50%,34,"¥1,000,808",104.40%,20,"¥3,715,421",105.90%,19,"¥330,994",80.30%,34,"¥109,578",80.40%
2025年28週(2025/10/06~2025/10/12),45,"¥851,631",105.60%,18,"¥3,782,438",112.00%,26,"¥588,095",83.90%,49,"¥374,033",61.50%,19,"¥1,454,849",111.10%,36,"¥3,110,241",91.20%,40,"¥891,688",105.90%,14,"¥3,945,404",104.20%,12,"¥357,071",119.90%,37,"¥104,273",81.50%
2025年29週(2025/10/13~2025/10/19),37,"¥911,390",105.50%,27,"¥3,561,766",89.20%,11,"¥697,704",100.40%,48,"¥379,967",61.40%,23,"¥1,414,847",110.80%,35,"¥3,126,973",88.50%,33,"¥1,006,881",141.30%,15,"¥3,890,687",104.10%,20,"¥324,784",124.20%,30,"¥113,302",89.90%
2025年30週(2025/10/20~2025/10/26),50,"¥786,616",97.10%,4,"¥4,219,534",116.50%,4,"¥787,201",100.10%,42,"¥427,951",74.20%,22,"¥1,418,851",123.00%,24,"¥3,342,376",108.30%,42,"¥885,686",83.90%,31,"¥3,307,661",98.90%,45,"¥238,396",110.70%,40,"¥101,327",93.00%
2025年31週(2025/10/27~2025/11/02),51,"¥780,155",91.90%,40,"¥3,348,379",100.50%,6,"¥714,830",94.30%,35,"¥482,454",63.70%,31,"¥1,208,704",114.10%,30,"¥3,245,711",103.30%,43,"¥876,427",102.80%,33,"¥3,074,247",91.40%,32,"¥284,273",97.50%,42,"¥97,266",86.90%
2025年32週(2025/11/03~2025/11/09),52,"¥757,930",94.70%,49,"¥3,133,289",92.00%,5,"¥785,314",132.10%,45,"¥407,805",59.50%,35,"¥1,115,406",109.80%,47,"¥2,927,834",84.80%,41,"¥889,383",105.40%,36,"¥2,990,770",86.90%,17,"¥335,070",111.20%,46,"¥94,747",77.70%
2025年33週(2025/11/10~2025/11/16),46,"¥839,676",100.20%,35,"¥3,398,959",94.20%,22,"¥623,203",86.90%,50,"¥344,628",66.20%,44,"¥1,038,893",102.20%,41,"¥3,070,563",103.40%,35,"¥997,865",139.40%,35,"¥2,992,566",92.70%,22,"¥323,753",104.10%,38,"¥102,824",83.80%
