販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,智頭店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：03:精肉⇒033:鶏肉,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003301:ﾓﾓ,003301:ﾓﾓ,003301:ﾓﾓ,003302:ﾑﾈ,003302:ﾑﾈ,003302:ﾑﾈ,003303:ｻｻﾐ,003303:ｻｻﾐ,003303:ｻｻﾐ,003304:骨物,003304:骨物,003304:骨物,003305:内臓物,003305:内臓物,003305:内臓物,003306:合わせ,003306:合わせ,003306:合わせ,003307:丸物,003307:丸物,003307:丸物,003308:鴨肉,003308:鴨肉,003308:鴨肉,003399:代表ｺｰﾄﾞ,003399:代表ｺｰﾄﾞ,003399:代表ｺｰﾄﾞ
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年29週(2025/10/13~2025/10/19),21,"¥4,970,627 ",107.6%,19,"¥690,594 ",110.9%,32,"¥657,907 ",90.1%,31,"¥800,600 ",95.9%,22,"¥226,008 ",106.7%,17,"¥71,416 ",55.7%,17,"¥3,500 ",100.0%,25,"¥230,535 ",105.7%,25,¥0 ,0.0%
2025年30週(2025/10/20~2025/10/26),22,"¥4,957,478 ",101.9%,40,"¥618,675 ",101.9%,9,"¥710,912 ",121.9%,7,"¥904,331 ",114.6%,4,"¥240,313 ",119.3%,5,"¥81,972 ",67.4%,18,"¥3,500 ",0.0%,21,"¥318,177 ",91.4%,26,¥0 ,0.0%
2025年31週(2025/10/27~2025/11/02),20,"¥5,000,935 ",109.2%,42,"¥616,178 ",106.8%,43,"¥604,717 ",86.3%,10,"¥871,837 ",93.9%,32,"¥221,520 ",108.3%,13,"¥74,363 ",58.5%,19,"¥3,301 ",0.0%,16,"¥403,424 ",117.9%,27,¥0 ,0.0%
2025年32週(2025/11/03~2025/11/09),16,"¥5,140,116 ",96.1%,47,"¥596,160 ",98.1%,7,"¥729,787 ",118.9%,13,"¥861,316 ",106.5%,17,"¥229,951 ",103.9%,8,"¥78,754 ",62.9%,21,"¥3,094 ",0.0%,8,"¥481,004 ",91.7%,40,(¥56),-0.4%
2025年33週(2025/11/10~2025/11/16),6,"¥5,421,585 ",115.9%,44,"¥608,802 ",103.4%,10,"¥710,586 ",108.9%,8,"¥875,020 ",94.8%,16,"¥230,308 ",109.1%,6,"¥81,109 ",89.7%,6,"¥13,239 ",189.1%,12,"¥440,490 ",119.5%,6,¥499 ,5.5%
2025年34週(2025/11/17~2025/11/23),19,"¥5,008,375 ",98.2%,51,"¥563,002 ",102.2%,15,"¥698,107 ",138.8%,23,"¥826,172 ",98.6%,33,"¥221,145 ",104.4%,23,"¥57,956 ",78.1%,12,"¥6,120 ",0.0%,17,"¥400,361 ",77.9%,45,(¥455),0.0%
2025年35週(2025/11/24~2025/11/30),10,"¥5,286,284 ",101.8%,20,"¥687,613 ",109.3%,46,"¥567,385 ",96.8%,16,"¥836,643 ",99.1%,21,"¥227,424 ",109.3%,18,"¥69,188 ",74.1%,7,"¥10,224 ",146.1%,11,"¥451,899 ",122.3%,28,¥0 ,0.0%
2025年36週(2025/12/01~2025/12/07),3,"¥5,883,788 ",102.9%,14,"¥710,945 ",119.4%,12,"¥708,204 ",125.9%,15,"¥849,440 ",87.0%,30,"¥222,764 ",95.8%,20,"¥67,979 ",74.5%,5,"¥18,613 ",233.2%,4,"¥659,585 ",107.4%,1,"¥1,397 ",10.0%
2025年37週(2025/12/08~2025/12/14),14,"¥5,235,324 ",107.5%,52,"¥562,702 ",101.4%,37,"¥631,015 ",105.2%,9,"¥873,951 ",97.9%,41,"¥213,735 ",91.1%,22,"¥65,056 ",75.4%,3,"¥27,272 ",389.6%,3,"¥668,024 ",118.2%,43,(¥126),-1.7%
2025年38週(2025/12/15~2025/12/21),7,"¥5,399,686 ",92.8%,49,"¥582,851 ",112.7%,42,"¥607,009 ",114.9%,21,"¥830,032 ",94.1%,28,"¥223,168 ",56.2%,9,"¥78,372 ",123.6%,2,"¥161,359 ",261.7%,5,"¥654,592 ",86.3%,29,¥0 ,0.0%
